"","Node Modulation
Score","Importance
Score","Phosphoproteomics
log2 FC","Proteomics
log2 FC","Transcriptomics
log2 FC","Evidence
Score","Phosphoproteomics
SD","Proteomics
SD","Transcriptomics
SD"
"748",7.6042996303973,0.0612653573331348,0,0.0528306607183033,0.19441762026405,2,0,1.45416215786494,0.121911639141273
"749",180.301001853843,0.0612653573331348,0,1.62775788688932,0.135268179948507,2,0,1.45416215786494,0.121911639141273
"750",173.787655405565,0.0612653573331348,0,1.57492722617102,0.0591494403155437,2,0,1.45416215786494,0.121911639141273
"751",14.1021451841411,0.0991411931435017,0.0835415014898864,0.0646919394243808,0.0214768247771699,3,0.792151748181005,0.121824378127909,0.127753376982227
"752",79.0438497186992,0.0991411931435017,0.496160747274327,0.0574568784798624,0.238350471172073,3,0.792151748181005,0.121824378127909,0.127753376982227
"753",67.8358816621119,0.0991411931435017,0.412619245784441,0.122148817904243,0.216873646394903,3,0.792151748181005,0.121824378127909,0.127753376982227
"754",33.3002499526636,0.0886400852564424,0.415135035179935,0.0764844899584229,0.09441568871397,3,0.451914211740303,0.0656204098095058,0.10823375652602
"755",67.4727435879898,0.0886400852564424,0.870294077431826,0.0529159130444228,0.131467049955531,3,0.451914211740303,0.0656204098095058,0.10823375652602
"756",34.6802893776308,0.0886400852564424,0.455159042251891,0.0235685769140002,0.0370513612415611,3,0.451914211740303,0.0656204098095058,0.10823375652602
"757",12.2619049872982,0.0622787753265432,0.120448967990687,0,0.26178744049265,2,0.827683800134627,0,0.22830212578096
"758",63.9155321147806,0.0622787753265432,0.973689887840393,0,0.110747942935213,2,0.827683800134627,0,0.22830212578096
"759",72.2889468031983,0.0622787753265432,1.09413885583108,0,0.151039497557437,2,0.827683800134627,0,0.22830212578096
"760",15.8958108892136,0.0628520479128856,0.213997673176282,0.0522190066665198,0.0500708586883034,3,0.534629304746369,0.379864834798852,0.0461168523679931
"761",65.9672410117191,0.0628520479128856,0.731851817522804,0.45283001480782,0.074054741751123,3,0.534629304746369,0.379864834798852,0.0461168523679931
"762",76.7073583324405,0.0628520479128856,0.945849490699086,0.400611008141301,0.0239838830628196,3,0.534629304746369,0.379864834798852,0.0461168523679931
"772",39.2691660949586,0.0620636289577784,0.574934476506982,0,0.0266254153712371,2,0.888140468264443,0,0.0685317356519274
"773",69.6596238786081,0.0620636289577784,1.02152884495469,0,0.0258237167531838,2,0.888140468264443,0,0.0685317356519274
"774",30.6701115166634,0.0620636289577784,0.44659436844771,0,0.0524491321244209,2,0.888140468264443,0,0.0685317356519274
"775",792.038967735149,0.0624535145087117,4.54980475747362,0,0.0483301348763385,2,2.2568127090674,0,0.0665660944800733
"776",776.261320798368,0.0624535145087117,4.45706648362506,0,0.118728410508828,2,2.2568127090674,0,0.0665660944800733
"777",16.5003623447467,0.0624535145087117,0.0927382738485596,0,0.0703982756324892,2,2.2568127090674,0,0.0665660944800733
"787",33.8438788671982,0.0626314563835128,0.353563951264896,0.0311943075165075,0.12103825044736,3,0.782029753103997,0.17473000357016,0.081093645998303
"788",93.1619766044582,0.0626314563835128,0.97702254400911,0.156739210338651,0.144144132309943,3,0.782029753103997,0.17473000357016,0.081093645998303
"789",123.464212548468,0.0626314563835128,1.33058649527401,0.125544902822144,0.0231058818625831,3,0.782029753103997,0.17473000357016,0.081093645998303
"826",28.2211259272216,0.0623290546204222,0.377867034750976,0.0783312225073809,0.0167405876842857,3,0.593155620106069,0.251569745454694,0.0377045154208535
